Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","2005","2005","tonnes","3167914","","Official data"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","2006","2006","tonnes","2453297","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","2007","2007","tonnes","2682479","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","2008","2008","tonnes","2613066","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","2009","2009","tonnes","2935188","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","2010","2010","tonnes","3393424","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","2011","2011","tonnes","3631547","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","2012","2012","tonnes","2858413","","Official data"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","2013","2013","tonnes","2961681","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","2014","2014","tonnes","2224855","","Official data"
